Week of COVID-19 Diagnosis,Number Of Cases
1/26/2020,3
2/9/2020,4
2/16/2020,1
2/23/2020,4
3/1/2020,50
3/8/2020,175
3/15/2020,673
3/22/2020,1036
3/29/2020,1246
4/5/2020,1095
4/12/2020,1141
4/19/2020,1202
4/26/2020,1194
5/3/2020,1099
5/10/2020,1187
5/17/2020,1172
5/24/2020,1104
5/31/2020,1231
6/7/2020,1347
6/14/2020,1531
6/21/2020,1881
6/28/2020,2104
7/5/2020,2238
7/12/2020,2127
7/19/2020,1988
7/26/2020,1825
8/2/2020,1680
8/9/2020,1426
8/16/2020,1447
8/23/2020,1198
8/30/2020,1058
9/6/2020,1151
9/13/2020,1385
9/20/2020,1380
9/27/2020,1604
10/4/2020,1682
10/11/2020,1966
10/18/2020,2074
10/25/2020,2274
11/1/2020,2852
11/8/2020,3123
11/15/2020,3234
11/22/2020,3217
11/29/2020,4039
12/6/2020,3884
12/13/2020,3488
12/20/2020,3155
12/27/2020,3991
1/3/2021,3693
1/10/2021,2947
1/17/2021,2647
1/24/2021,2201
1/31/2021,1885
2/7/2021,1648
2/14/2021,1338
2/21/2021,1230
2/28/2021,1197
3/7/2021,1239
3/14/2021,1361
3/21/2021,1406
3/28/2021,1480
4/4/2021,1558
4/11/2021,1477
4/18/2021,1299
4/25/2021,1207
5/2/2021,1003
5/9/2021,793
5/16/2021,726
5/23/2021,535
5/30/2021,497
6/6/2021,482
6/13/2021,391
6/20/2021,498
6/27/2021,586
7/4/2021,739
7/11/2021,944
7/18/2021,1264
7/25/2021,1558
8/1/2021,1678
8/8/2021,1773
8/15/2021,1725
8/22/2021,1639
8/29/2021,1441
9/5/2021,1349
9/12/2021,1290
9/19/2021,1188
9/26/2021,1037
10/3/2021,859
10/10/2021,562
10/17/2021,148
